都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,lat,lon,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
472018,,沖縄県,那覇市,首里城公園,,,,那覇市首里金城町1-2,,127.71538,26.218347,098-886-2020,,,,,,,,,,https://www.pref.okinawa.jp/site/doboku/koen/ryokuchi/syurijyo.html,県営都市公園
472018,,沖縄県,那覇市,奥武山公園,,,,"沖縄県那覇市奥武山町52
(奥武山公園運営管理事務所)",,127.674284,26.204643,098-858-2700,,,,,,,,,,https://www.pref.okinawa.jp/site/doboku/koen/ryokuchi/ounoyamakouen.html,県営都市公園
472018,,沖縄県,那覇市,海軍壕公園,,,,沖縄県豊見城市字豊見城236番地,,127.676886,26.186471,098-850-4055,,,,,,,,,,https://www.pref.okinawa.jp/site/doboku/koen/ryokuchi/kaigungoukouen.html,県営都市公園
472018,,沖縄県,那覇市,古波蔵市街地住宅,,,,那覇市古波蔵3-10-1,,127.684194,26.199617,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,松川団地（建替中）,,,,那覇市繁多川2-5,,127.709204,26.212608,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,古波蔵第２市街地住宅,,,,那覇市古波蔵2-7-1,,127.686082,26.200336,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,大橋市街地住宅,,,,那覇市壷川2-10-6,,127.681287,26.202874,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,安岡市街地住宅,,,,那覇市銘苅288-3,,127.698484,26.236291,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,美田市街地住宅,,,,那覇市古波蔵3-3-20,,127.68221,26.201217,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,あけぼの市街地住宅,,,,那覇市曙3-9-1,,127.685496,26.242004,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,三重城市街地住宅,,,,那覇市西3-9-1,,127.664785,26.215209,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,上間市街地住宅,,,,那覇市上間295-1,,127.714969,26.197618,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,国場市街地住宅,,,,那覇市国場1136-2,,127.693049,26.197745,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,赤嶺市街地住宅,,,,那覇市赤嶺2-5-1,,127.660254,26.193903,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,鳥堀市街地住宅,,,,那覇市首里鳥堀5-55-3,,127.729719,26.216697,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,上之屋市街地住宅,,,,那覇市上之屋370,,127.683175,26.229374,,,,,,,,,,,,県公営住宅
472018,,沖縄県,那覇市,繁多川高層住宅,,,,那覇市繁多川1-16-30,,127.705824,26.212699,,,,,,,,,,,,県公営住宅
